t_s,x_w,y_w,z_w,qx,qy,qz,qw
4.146480544,-0.000737652,-0.006877874,1.77815884,-0.01151019,0.036802902,-0.023299754,0.998984576
4.163147211,-0.000728363,-0.006035067,1.771616574,-0.005711489,0.057492975,-0.020078488,0.998127643
4.179813878,-0.00072545,-0.004919357,1.766559106,-0.004195513,0.069361406,-0.015561638,0.997461392
4.196480544,-0.000735067,-0.003624549,1.764123344,-0.004317159,0.0744452,-0.010269766,0.997162879
4.213147211,-0.000759328,-0.002280259,1.764596306,-0.008346694,0.073403798,-0.004782616,0.997255906
4.229813878,-0.000798304,-0.001073988,1.767921505,-0.009435093,0.066340768,0.000346414,0.997752355
4.246480544,-0.000843031,-9.8992e-05,1.774221907,-0.007847672,0.050679563,0.00466392,0.998673242
4.263147211,-0.000877419,0.000552086,1.780705956,-0.019059393,0.025141981,0.00755489,0.999473633
4.279813878,-0.000892037,0.000807183,1.783482622,-0.04446155,0.007228668,0.008776325,0.998946391
4.296480544,-0.000886147,0.000642013,1.783617319,-0.067305517,0.003773249,0.008220384,0.997691413
4.313147211,-0.000859383,9.0062e-05,1.783807876,-0.082798369,0.001470184,0.006118772,0.996546451
4.329813878,-0.000820433,-0.000785199,1.78407729,-0.092780401,0.002375826,0.002596322,0.995680376
4.346480544,-0.000780528,-0.001894337,1.784069616,-0.098220987,0.002621914,-0.002019292,0.995159126
4.363147211,-0.000744625,-0.003124094,1.783660141,-0.100094709,0.001518393,-0.007222473,0.994950541
4.379813878,-0.000725206,-0.004352856,1.783459083,-0.09821501,0.003290962,-0.012369165,0.995082904
4.396480544,-0.00072167,-0.005459053,1.783507777,-0.092196422,0.003644826,-0.017047665,0.995588224
4.413147211,-0.000723788,-0.006300954,1.783510684,-0.082069811,0.003907862,-0.020965574,0.996398374
4.429813878,-0.000730251,-0.006822134,1.783567658,-0.066330272,0.005911367,-0.023677214,0.997499243
4.446480544,-0.000734835,-0.006952031,1.783305844,-0.042931308,0.009592844,-0.024801393,0.998724072
