t_s,bending_avg_y_mm,torsion_diff_y_mm,bending_smoothed_mm,torsion_smoothed_mm
4.988862,0.051705,0.016867,0.051516,0.015835
5.005528,0.075134,0.010666,0.074815,0.010637
5.022195,0.085576,0.001177,0.085651,0.000866
5.038862,0.091895,-0.013182,0.092306,-0.012864
5.055528,0.101521,-0.017463,0.101607,-0.016342
5.072195,0.108463,0.003824,0.108449,0.003031
5.088862,0.109194,0.015447,0.109279,0.015219
5.105528,0.103294,0.025647,0.102908,0.026531
5.122195,0.081309,0.052571,0.080881,0.051877
5.138862,0.043551,0.067340,0.043807,0.066464
5.155528,0.005074,0.068924,0.005091,0.068711
5.172195,-0.035432,0.075044,-0.034939,0.076175
5.188862,-0.067993,0.115969,-0.068196,0.116334
5.205528,-0.105063,0.180152,-0.105115,0.180660
5.222195,-0.144634,0.266059,-0.144449,0.266681
5.238862,-0.183596,0.366260,-0.183410,0.365958
5.255528,-0.223383,0.451770,-0.223899,0.451603
5.272195,-0.277109,0.513371,-0.277712,0.511870
5.288862,-0.344171,0.520716,-0.344058,0.520520
5.305528,-0.407113,0.497634,-0.406528,0.497335
5.322195,-0.452086,0.448267,-0.452681,0.448630
5.338862,-0.495557,0.391730,-0.494942,0.392527
5.355528,-0.513183,0.339883,-0.512572,0.340601
5.372195,-0.505354,0.290630,-0.505131,0.289864
5.388862,-0.482535,0.215026,-0.483259,0.213732
5.405528,-0.465873,0.105108,-0.466282,0.104758
5.422195,-0.451908,-0.014485,-0.451440,-0.013765
5.438862,-0.425571,-0.113722,-0.425215,-0.113249
5.455528,-0.390119,-0.187364,-0.390245,-0.187745
5.472195,-0.356886,-0.243670,-0.357254,-0.243311
5.488862,-0.333169,-0.265494,-0.332903,-0.264049
5.505528,-0.310140,-0.234081,-0.310040,-0.234219
5.522195,-0.292662,-0.183224,-0.293352,-0.183778
5.538862,-0.295695,-0.127500,-0.295591,-0.128174
5.555528,-0.303918,-0.074206,-0.304229,-0.073414
5.572195,-0.321398,-0.000862,-0.321317,-0.000402
5.588862,-0.336678,0.081655,-0.336490,0.081197
5.605528,-0.343883,0.150070,-0.343443,0.150080
5.622195,-0.336316,0.204680,-0.336361,0.205436
5.638862,-0.322266,0.250521,-0.322493,0.249420
5.655528,-0.305004,0.247862,-0.305227,0.246886
5.672195,-0.283545,0.197605,-0.283381,0.196935
5.688862,-0.249450,0.111050,-0.249017,0.111526
5.705528,-0.197546,0.019287,-0.197347,0.019398
5.722195,-0.133784,-0.072907,-0.133971,-0.072792
5.738862,-0.068708,-0.155758,-0.068399,-0.155526
5.755528,0.001714,-0.220778,0.001721,-0.219323
5.772195,0.066930,-0.244234,0.066462,-0.244979
5.788862,0.114160,-0.266154,0.113888,-0.267473
5.805528,0.144941,-0.294806,0.144712,-0.295465
5.822195,0.160100,-0.310927,0.160981,-0.309237
5.838862,0.178748,-0.263401,0.179155,-0.262977
5.855528,0.189342,-0.171100,0.188294,-0.169832
5.872195,0.162428,-0.024128,0.162029,-0.024211
5.888862,0.108626,0.138908,0.109025,0.141012
5.905528,0.044587,0.335220,0.044015,0.333169
5.922195,-0.042047,0.467800,-0.042347,0.465766
5.938862,-0.139537,0.523277,-0.139228,0.521463
5.955528,-0.229155,0.504986,-0.228738,0.507769
5.972195,-0.302272,0.501836,-0.301975,0.500989
5.988862,-0.356968,0.454837,-0.357205,0.455086
6.005528,-0.400354,0.386909,-0.400578,0.385953
6.022195,-0.430643,0.279427,-0.429547,0.281160
6.038862,-0.423942,0.183233,-0.424548,0.182147
6.055528,-0.411917,0.050567,-0.411767,0.049921
6.072195,-0.382821,-0.105019,-0.383345,-0.106252
6.088862,-0.349617,-0.282588,-0.348983,-0.281334
6.105528,-0.291945,-0.422786,-0.292218,-0.422447
6.122195,-0.226653,-0.529228,-0.226553,-0.528436
6.138862,-0.149121,-0.587714,-0.148246,-0.586730
6.155528,-0.049375,-0.596186,-0.050213,-0.596448
6.172195,0.037638,-0.583130,0.037285,-0.583630
6.188862,0.118509,-0.558798,0.117704,-0.560193
6.205528,0.187032,-0.541270,0.188016,-0.539805
6.222195,0.278630,-0.479198,0.279028,-0.478923
6.238862,0.384285,-0.395158,0.384229,-0.395283
6.255528,0.493887,-0.300829,0.494145,-0.300886
6.272195,0.608659,-0.201482,0.608473,-0.201136
6.288862,0.715693,-0.096916,0.715621,-0.097090
6.305528,0.812552,-0.003809,0.812248,-0.003895
6.322195,0.891598,0.072947,0.891979,0.071987
6.338862,0.962315,0.115062,0.961993,0.114375
6.355528,1.009383,0.130002,1.009827,0.130479
6.372195,1.042695,0.144682,1.042908,0.145050
6.388862,1.052930,0.162827,1.052648,0.163389
6.405528,1.026432,0.190618,1.025155,0.190085
6.422195,0.943657,0.209292,0.944131,0.209150
6.438862,0.837541,0.224838,0.837962,0.227038
6.455528,0.711335,0.276896,0.709725,0.273462
6.472195,0.535780,0.264692,0.535850,0.265085
6.488862,0.350908,0.261352,0.351873,0.261835
6.505528,0.183377,0.276334,0.183840,0.277732
6.522195,0.030789,0.326660,0.031541,0.330626
6.538862,-0.099434,0.447203,-0.101603,0.441175
6.555528,-0.256756,0.444991,-0.256170,0.446404
6.572195,-0.386380,0.443409,-0.385595,0.444026
6.588862,-0.478176,0.426355,-0.478199,0.424527
6.605528,-0.541720,0.354740,-0.542236,0.353212
6.622195,-0.583533,0.244349,-0.582194,0.246188
6.638862,-0.570921,0.169043,-0.570731,0.170609
6.655528,-0.529432,0.132161,-0.528770,0.132774
6.672195,-0.460789,0.114321,-0.461333,0.114009
6.688862,-0.398628,0.090255,-0.399440,0.089131
6.705528,-0.357426,0.037990,-0.357643,0.037678
6.722195,-0.331422,-0.028988,-0.331885,-0.030264
6.738862,-0.325175,-0.120751,-0.325045,-0.120889
6.755528,-0.325727,-0.204336,-0.325522,-0.202850
6.772195,-0.329738,-0.238535,-0.328926,-0.237868
6.788862,-0.326865,-0.232445,-0.327234,-0.231313
6.805528,-0.340862,-0.182467,-0.341310,-0.181702
6.822195,-0.374965,-0.107691,-0.375678,-0.109379
6.838862,-0.432065,-0.064980,-0.431940,-0.066367
6.855528,-0.491162,-0.054372,-0.491523,-0.055330
6.872195,-0.552769,-0.063345,-0.551959,-0.062112
6.888862,-0.588726,-0.043245,-0.588344,-0.042328
6.905528,-0.602669,0.005180,-0.602558,0.006835
6.922195,-0.599667,0.089738,-0.598971,0.089730
6.938862,-0.572692,0.167168,-0.573694,0.165636
6.955528,-0.555720,0.196959,-0.555927,0.195452
6.972195,-0.536058,0.175019,-0.536035,0.174333
6.988862,-0.508585,0.122580,-0.508343,0.123019
7.005528,-0.468611,0.071823,-0.467576,0.073244
7.022195,-0.404580,0.049285,-0.404755,0.050264
7.038862,-0.344472,0.048002,-0.344643,0.047724
7.055528,-0.295804,0.040051,-0.296589,0.039357
7.072195,-0.274457,0.011534,-0.274911,0.011305
7.088862,-0.274945,-0.031185,-0.274697,-0.032769
7.105528,-0.281728,-0.106537,-0.281862,-0.106883
7.122195,-0.297137,-0.178864,-0.297148,-0.178661
7.138862,-0.315001,-0.221900,-0.314170,-0.219517
7.155528,-0.318857,-0.187584,-0.318442,-0.185010
7.172195,-0.317399,-0.078116,-0.318681,-0.079287
7.188862,-0.342290,0.022532,-0.342463,0.021178
7.205528,-0.372178,0.093302,-0.371925,0.092512
7.222195,-0.395142,0.135137,-0.394876,0.134181
7.238862,-0.406642,0.146439,-0.406533,0.146317
7.255528,-0.407307,0.149656,-0.406943,0.150784
7.272195,-0.393154,0.173904,-0.392794,0.175428
7.288862,-0.367587,0.225688,-0.367693,0.226076
7.305528,-0.343910,0.275800,-0.344389,0.274600
7.322195,-0.333067,0.284542,-0.333426,0.283549
7.338862,-0.334515,0.250688,-0.334554,0.248750
7.355528,-0.341290,0.164524,-0.341297,0.164254
7.372195,-0.351150,0.071420,-0.349944,0.074694
7.388862,-0.342706,0.049927,-0.343591,0.048540
7.405528,-0.355313,0.024504,-0.355429,0.026729
7.422195,-0.377492,0.057745,-0.377041,0.057542
7.438862,-0.400709,0.097391,-0.400988,0.097405
7.455528,-0.438720,0.136901,-0.439230,0.134419
7.472195,-0.494890,0.126361,-0.495095,0.126361
7.488862,-0.559816,0.114258,-0.560287,0.113897
7.505528,-0.631564,0.104941,-0.630570,0.106110
7.522195,-0.677555,0.135564,-0.677239,0.137087
7.538862,-0.706707,0.213461,-0.706439,0.214874
7.555528,-0.721017,0.326420,-0.720820,0.325443
7.572195,-0.725497,0.414216,-0.726266,0.413718
7.588862,-0.740883,0.468616,-0.740785,0.467350
7.605528,-0.752782,0.466285,-0.753490,0.465687
7.622195,-0.773411,0.418864,-0.773168,0.418089
7.638862,-0.781942,0.330937,-0.781227,0.331160
